"Policy initiative ID","English name","Original name(s)","Acronym","Description","Start date","End date","Budget amount(in local currency)","Background","Objective(s)","Responsible organisation(s)","Public access URL","Is evaluated ?","Evaluation URL","Yearly budget range","Country","Theme area(s)","Theme(s)","Target group type(s)","Target group(s)","Policy instrument ID","Policy instrument type category","Policy instrument type","Policy instrument name","Policy instrument description(s)","Policy instrument note(s)","Policy instrument mini-field(s)"
"http://stip.oecd.org/2019/data/policyInitiatives/14773","JOINT R&D PROJECT CALL","","","The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.","2017","","","In 2019 Innoviris launched a new Joint R&D project call focusing on predictive medicine. This call is coherent with our focus on health as one of our three major priorities in the Regional Innovation Plan. Thanks to the progress made on medical imagery and biotechnology, there is a possibility to move further on medicine. The long term goal is to move from therapeutic medicine to predictive medicine in order to put in place prevention strategies for patients. The three pillars of this call are : identification, prediction and prevention. <br/><br/>In 2018, a call was launched on decentralized networks.","To foster R&D related collaboration between academia and industry in the Brussels-Capital Region.","Innoviris (Innoviris;Innoviris)","","false","","1M-5M","Belgium - Brussels Capital","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship|Public research system|Science-industry knowledge transfer and sharing","Artificial intelligence (AI)|Biotechnology flagships|Collaborative research and innovation|Commercialisation of public research results|Competitive research funding|Digital transformation of firms|Ethics of emerging technologies|Financial support to business R&D and innovation","Firms by age|Firms by size|Research and education organisations","Firms of any age|Firms of any size|Higher education institutes|Private research and development lab","http://stip.oecd.org/2019/data/policyInitiatives/14773/instrument/13494","Direct financial support","Grants for business R&D and innovation","","","","Contribution (e.g. matching funds) required from beneficiary: Yes|Maximum amount of grant awarded in euros: 500K-1M|Maximum grant duration: 25-36 months|Requires a form of collaboration: With public research actors, With industry partners|Selection criteria: Feasibility of project, Geographical location (to promote regional or cluster policy)|Type of activity: Applied research"
"http://stip.oecd.org/2019/data/policyInitiatives/14773","JOINT R&D PROJECT CALL","","","The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.","2017","","","In 2019 Innoviris launched a new Joint R&D project call focusing on predictive medicine. This call is coherent with our focus on health as one of our three major priorities in the Regional Innovation Plan. Thanks to the progress made on medical imagery and biotechnology, there is a possibility to move further on medicine. The long term goal is to move from therapeutic medicine to predictive medicine in order to put in place prevention strategies for patients. The three pillars of this call are : identification, prediction and prevention. <br/><br/>In 2018, a call was launched on decentralized networks.","To foster R&D related collaboration between academia and industry in the Brussels-Capital Region.","Innoviris (Innoviris;Innoviris)","","false","","1M-5M","Belgium - Brussels Capital","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship|Public research system|Science-industry knowledge transfer and sharing","Artificial intelligence (AI)|Biotechnology flagships|Collaborative research and innovation|Commercialisation of public research results|Competitive research funding|Digital transformation of firms|Ethics of emerging technologies|Financial support to business R&D and innovation","Firms by age|Firms by size|Research and education organisations","Firms of any age|Firms of any size|Higher education institutes|Private research and development lab","http://stip.oecd.org/2019/data/policyInitiatives/14773/instrument/14857","Direct financial support","Grants for business R&D and innovation","","","","Contribution (e.g. matching funds) required from beneficiary: Yes|Maximum amount of grant awarded in euros: 500K-1M|Maximum grant duration: 13-24 months|Requires a form of collaboration: With industry partners|Selection criteria: Feasibility of project, Geographical location (to promote regional or cluster policy)|Type of activity: Applied research"
"http://stip.oecd.org/2019/data/policyInitiatives/14775","PROSPECTIVE RESEARCH PROGRAMME","","","Through its Prospective Researchprogramme, Innoviris is financing projects led by academic researchers at a Brussels university or college which focus on the future and cover areas of importance to the Brussels Capital Region.","2017","","","The programme funds projects in the areas of both humanities and hard sciences. The projects pay the appropriate attention to creating valuable research, preferably in collaboration with a supporting institution.","To develop and enrich the knowledge available on Brussels' urban complexity. The recent thematic calls for the programme were focused on sustainable tourism and the future of governance.","Innoviris (Innoviris;Innoviris)","","false","","1M-5M","Belgium - Brussels Capital","Emerging trends in STI policy|Public research system","Artificial intelligence (AI)|Competitive research funding|Interdisciplinary research|Mission-oriented innovation policies","Research and education organisations|Researchers, students and teachers","Established researchers|Higher education institutes","http://stip.oecd.org/2019/data/policyInitiatives/14775/instrument/13538","Direct financial support","Project grants for public research","","","","Maximum amount of grant awarded in euros: 100K-500K|Maximum grant duration: 13-24 months|Requires a form of collaboration: With other public research actors|Selection criteria: Societal impact anticipated|Type of activity: Basic research, Applied research"
"http://stip.oecd.org/2019/data/policyInitiatives/14797","PLAN NEXT TECH BRUSSELS","","","This plan aims to boost ICT entrepreneurship in the Brussels capital region.","2017","2020","","","To create an environment that supports and promotes the creation and growth of companies active in information and communication technologies by formulating a series of objectives and concrete measures.","Hub.brussels (Hub.brussels;Hub.brussels)","https://nexttech.brussels/wp-content/uploads/2017/01/PlanNextTech-2017-2020-fr.pdf","false","","Don't know","Belgium - Brussels Capital","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship","Artificial intelligence (AI)|Digital transformation of firms|Entrepreneurship capabilities and culture","Economic actors (individuals)|Social groups especially emphasised","Civil society|Entrepreneurs","http://stip.oecd.org/2019/data/policyInitiatives/14797/instrument/13575","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 1- Strategy communicated to public bodies|Focuses on the following area(s) of the national innovation system: Research, Business (innovation and/or entrepreneurship), Education and skills|Follow-up mechanism: Periodic monitoring and/or evaluation of progress|Foresight exercise included: Yes|Societal challenge(s) emphasised: Health, Ageing populations, Inclusiveness (e.g. inequality, job insecurity)|Specific business sector(s) targeted: None specifically targeted, Electronics|Strategy mainly prioritises: STI policy governance (e.g. vertical and horizontal coordination, evaluation)"
"http://stip.oecd.org/2019/data/policyInitiatives/15194","IMEC CORE FUNDING","Interuniversitair Micro-Elektronica Centrum","","Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.","1984","","","In February 2016, the merger was announced between the strategic research centres Imec and iMinds, which was completed in October 2016, when iMinds vzw was disbanded to become one of Imec’s business units. The renewed Imec confirms its role as the world’s leading research centre for nanoelectronics and digital technology. It brings together nearly 3,500 researchers from all over the world and has a unique infrastructure, with the most advanced equipment for research into next-generation IC technologies, and state-of-the-art bio, network and imaging labs. This includes 12,000 square meters of cleanrooms (of which the most recent 4000 square meeters˛ 300mm facility was inaugurated in March 2016). <br/>Imec is also a driver of the ‘City of Things’ project, that builds a Smart City ‘Internet of Things’ (IoT) living laboratory in Antwerp. IoT is a network of digitally connected objects and infrastructure via wireless gateways that exchange data using embedded sensors. Companies, researchers, residents and local authorities can experiment with smart technology through the participation in IoT and share information on mobility, energy consumption and air quality as part of a major urban digital project.","Confirms its role as the world’s leading research centre for nanoelectronics and digital technology.","Imec (;Institut de microélectronique et composants)","www.imec.be","true","","More than 500M","Belgium - Flanders","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship|Public research system","Artificial intelligence (AI)|Competitive research funding|Digital transformation of firms|Non-competitive research funding|Research infrastructures and large equipment","Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Civil society|Established researchers|Firms of any age|Firms of any size|Incubators, accelerators, science parks or technoparks|Industry associations|Postdocs and other early-career researchers|Public research institutes|Subnational government","http://stip.oecd.org/2019/data/policyInitiatives/15194/instrument/10508","Direct financial support","Institutional funding for public research","support for Imec","the Flemish Government (EWI domain) has also supported substantially the building of the clean rooms by/from Imec, separately from the annual grant for the institution.","","Criteria for funding: Research publications and outputs (excellence), Research impact, Number of co-publications, Third party income and co-funding (e.g. contract research, competitive grants), R&D expenditure, Research infrastructure, Commercialisation of research-generated intellectual property, Scientific partnerships and collaborations|Funding amount allocated for an average time-period of: 4-6 years|Funding includes a teaching component: No|Funding is attached to: Institutional performance contract|Penalties and rewards associated to performance: Financial penalties|Performance-based element to the allocation: Yes"
"http://stip.oecd.org/2019/data/policyInitiatives/15194","IMEC CORE FUNDING","Interuniversitair Micro-Elektronica Centrum","","Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.","1984","","","In February 2016, the merger was announced between the strategic research centres Imec and iMinds, which was completed in October 2016, when iMinds vzw was disbanded to become one of Imec’s business units. The renewed Imec confirms its role as the world’s leading research centre for nanoelectronics and digital technology. It brings together nearly 3,500 researchers from all over the world and has a unique infrastructure, with the most advanced equipment for research into next-generation IC technologies, and state-of-the-art bio, network and imaging labs. This includes 12,000 square meters of cleanrooms (of which the most recent 4000 square meeters˛ 300mm facility was inaugurated in March 2016). <br/>Imec is also a driver of the ‘City of Things’ project, that builds a Smart City ‘Internet of Things’ (IoT) living laboratory in Antwerp. IoT is a network of digitally connected objects and infrastructure via wireless gateways that exchange data using embedded sensors. Companies, researchers, residents and local authorities can experiment with smart technology through the participation in IoT and share information on mobility, energy consumption and air quality as part of a major urban digital project.","Confirms its role as the world’s leading research centre for nanoelectronics and digital technology.","Imec (;Institut de microélectronique et composants)","www.imec.be","true","","More than 500M","Belgium - Flanders","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship|Public research system","Artificial intelligence (AI)|Competitive research funding|Digital transformation of firms|Non-competitive research funding|Research infrastructures and large equipment","Firms by age|Firms by size|Governmental entities|Intermediaries|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Civil society|Established researchers|Firms of any age|Firms of any size|Incubators, accelerators, science parks or technoparks|Industry associations|Postdocs and other early-career researchers|Public research institutes|Subnational government","http://stip.oecd.org/2019/data/policyInitiatives/15194/instrument/10515","Direct financial support","Centres of excellence grants","support for Imec","","","Criteria for funding: Novelty of research or its application, Existing research capacity, Scientific impact anticipated, Commercial impact anticipated, Societal impact anticipated, Structural inclusion of beneficiaries in host institutes|Focus: Key technology (basic research), Key technology (commercial applications), Networking/co-operation (e.g. science-industry), Recruiting foreign researchers and other international linkages, Societal challenge(s), Sharing equipment and infrastructures|Maximum duration of funding for individual unit/centre: 5 years or less|Ownership of Intellectual Property (IP) stemming from science-industry research: Some IP co-owned between public and private actors|Penalties and rewards associated to performance: Financial penalties|Requires a form of collaborative research: Science-science, Science-industry|Share of public funding (as a % of total funding of the centre of excellence): Less than 50%"
"http://stip.oecd.org/2019/data/policyInitiatives/15323","R&D PROJECTS (EXPERIMENTAL DEVELOPMENT)","","","Experimental development may be defined as the activity which targets the application of the results of industrial research in the form of prototype products, processes, or services, which may not be used for commercial purposes before the end of the project.","1986","","","At the start of 2019, three industrial programs (Shape, Explore, and Upgrade) were brought together under the name of ""R&D projects"". There are three types of R&D projects:<br/>- Experimental Development (this instrument) (previously Shape)<br/>- Industrial research (previously Explore)<br/>- Organisation and process innovations (previously Upgrade)","The R&D project program enables the financing of experimental development projects.","Innoviris (Innoviris;Innoviris)","https://innoviris.brussels/rd-projects","false","","5M-20M","Belgium - Brussels Capital","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship","Artificial intelligence (AI)|Financial support to business R&D and innovation","Economic actors (individuals)","Entrepreneurs","http://stip.oecd.org/2019/data/policyInitiatives/15323/instrument/13573","Direct financial support","Grants for business R&D and innovation","","","","Contribution (e.g. matching funds) required from beneficiary: Yes|Maximum amount of grant awarded in euros: 500K-1M|Maximum grant duration: 13-24 months|Requires a form of collaboration: No|Selection criteria: Feasibility of project, Societal impact anticipated, Geographical location (to promote regional or cluster policy)|Type of activity: Experimental development"
"http://stip.oecd.org/2019/data/policyInitiatives/2316","REGIONAL INNOVATION PLAN","","","The Regional Innovation Plan is the upshot of a comprehensive and inclusive process. More than 200 people from different sectors were consulted, including companies, colleges and universities, (regional) public institutions, representatives of the other Belgian Regions and Communities, professional associations and civil society.","2016","2020","","In 2011, the region started the preparation of a new RDI strategy for the region in line with the EU 2020 strategy. The objective was the elaboration of a ""smart specialisation strategy"" for Brussels. The definition of the smart specialisation strategy is based on both a quantitative analysis (patents, collaborations, publications, FP participation, employment data) and a qualitative analysis (interviews and workshops). The Brussels Capital Region (BCR) in general and each “priority” is subject to a detailed SWOT analysis based on these elements. In July 2016, the Government of the Brussels Capital Region approved the new Regional Innovation Plan 2016-2020. It will be implemented in the course of 2016-2020.<br/>The new plan confirms the strategic orientations identified by the Brussels Capital Region since 2006 : ICT, Healthcare, Environment.","The plan aims to be the reference framework for the research and innovation policy and a catalyst for socio-economic development, while also promoting the welfare of the inhabitants of Brussels.","Innoviris (Innoviris;Innoviris)","http://www.innoviris.be/en/rdi-policy/regional-innovation-planhttp://www.innoviris.be/fr/politique-rdi/plan-regional-dinnovation/pri-2016-revision-2me-lecture-web.pdfhttp://www.innoviris.be/en/rdi-policy/scoreboard?set_language=en","true","","50M-100M","Belgium - Brussels Capital","Emerging trends in STI policy|Governance|Innovation in firms and innovative entrepreneurship|Public research system|Research and innovation for society|Science-industry knowledge transfer and sharing","Artificial intelligence (AI)|Business innovation policy strategies|Cluster policies|International STI governance policy|Multi-stakeholder engagement|National STI plan or strategy|Public research strategies|Transfer and sharing strategies","Governmental entities|Research and education organisations|Social groups especially emphasised","Civil society|Higher education institutes|Private research and development lab|Subnational government","http://stip.oecd.org/2019/data/policyInitiatives/2316/instrument/12772","Governance","National strategies, agendas and plans","Plan regional d'innovation","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Research, Business (innovation and/or entrepreneurship)|Foresight exercise included: Yes|Societal challenge(s) emphasised: Health, Inclusiveness (e.g. inequality, job insecurity)|Specific business sector(s) targeted: None specifically targeted|Strategy mainly prioritises: STI policy governance (e.g. vertical and horizontal coordination, evaluation), Business innovation and innovative entrepreneurship, Access to finance for innovation (e.g. venture capital, business angels, financial markets), Skills for research and innovation"
"http://stip.oecd.org/2019/data/policyInitiatives/24234","AI 4 BELGIUM","","","Experts have written AI guidelines for Belgian policy makers.","2019","","","","In March 2019, Belgium launched its national AI strategy, “AI 4 Belgium”. The strategy includes seven objectives for action:<br/><br/>1. Policy support on ethics, regulation, skills and competences.<br/>2. Provide Belgian AI cartography.<br/>3. Co-animate Belgian AI community.<br/>4. Collect EU funding and connect EU ecosystems.<br/>5. Propose concrete action for training in AI.<br/>6. Contribute to the uptake of AI technologies by the industry.<br/>7. Make new products and services based on AI technologies emerge.","FPS Economy (;FOD Economie)","https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf","false","","Less than 1M","Belgium - Federal government","Emerging trends in STI policy","Artificial intelligence (AI)","Governmental entities","National government","http://stip.oecd.org/2019/data/policyInitiatives/24234/instrument/17350","Direct financial support","Fellowships and postgraduate loans and scholarships","Develop and attract world-class data and AI talent","AI4Belgium's strategy suggests to:<br/>1. Create multiple AI Bachelor and Master programmes.<br/>2. Create shorter programmes to develop AI-related skills (e.g., data translators, programmers). <br/>3. Set up partnerships with industry and public sector to allow AI and PhD students to work on practical applications.<br/>4. Facilitate selective immigration and visa policies for top foreign talent.","","Promotes international mobility of students and researchers: Incoming|Promotes intersectoral mobility (e.g. between the academic and private sectors): From academia to the private sector|Type of financial assistance: Non-repayable|Type of individual sponsored: Master student, Doctoral student"
"http://stip.oecd.org/2019/data/policyInitiatives/24234","AI 4 BELGIUM","","","Experts have written AI guidelines for Belgian policy makers.","2019","","","","In March 2019, Belgium launched its national AI strategy, “AI 4 Belgium”. The strategy includes seven objectives for action:<br/><br/>1. Policy support on ethics, regulation, skills and competences.<br/>2. Provide Belgian AI cartography.<br/>3. Co-animate Belgian AI community.<br/>4. Collect EU funding and connect EU ecosystems.<br/>5. Propose concrete action for training in AI.<br/>6. Contribute to the uptake of AI technologies by the industry.<br/>7. Make new products and services based on AI technologies emerge.","FPS Economy (;FOD Economie)","https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf","false","","Less than 1M","Belgium - Federal government","Emerging trends in STI policy","Artificial intelligence (AI)","Governmental entities","National government","http://stip.oecd.org/2019/data/policyInitiatives/24234/instrument/17348","Guidance, regulation and incentives","Emerging technology regulation","AI Lab - Sandboxes","The strategy plans to position Belgium as Europe's AI lab. For this, the strategy advice to:<br/><br/>1. Position Belgium as the European AI Lab, using Article 89 of GDPR and setting up sandboxes.<br/>2. Create a confederation of Belgian laboratories and join European initiatives (ELLIS, CLAIRE).<br/>3. Actively chase private research initiatives to bring them to Belgium.<br/>4. Set up large-scale blue-sky projects to fuel research.<br/>5. Set up a country-wide AI-lab to foster collaboration between individual researchers","","Approach to monitor compliance: The regulator develops and maintains technologies for data collection, transmission and/or analytics|Challenge(s) addressed: Social disruption (e.g. job insecurity)|Level of governance: Regional, National|Regulatory approach: Technology or input-based regulation (e.g. moratoria, standards of use)|Role of government: Technology/innovation enabler (e.g. interoperability standards)|Type(s) of regulation: Regulatory experiments (e.g. sandboxes)"
