"Policy initiative ID","English name","Original name(s)","Acronym","Description","Start date","End date","Budget amount(in local currency)","Background","Objective(s)","Responsible organisation(s)","Public access URL","Is evaluated ?","Evaluation URL","Yearly budget range","Country","Theme area(s)","Theme(s)","Target group type(s)","Target group(s)","Policy instrument ID","Policy instrument type category","Policy instrument type","Policy instrument name","Policy instrument description(s)","Policy instrument note(s)","Policy instrument mini-field(s)"
"http://stip.oecd.org/2019/data/policyInitiatives/15409","HIGH PERFORMANCE COMPUTING INFRASTRUCTURE PROJECT","","HPCI","Supercomputer ""K"" as a central core, construct high-speed network among universities and public research sectors for various uses.（Shared use of Supercomputer ""K"" has ended in August 16, 2019.　Supercomputer “Fugaku” will be shared 2021 ~ 2022 as the successor to Supercomputer ""K"".）","2012","","","To contribute to developing science and technology, strengthening industrial competition, and creating secured society.","To create outstanding results in various fields such as AI, data science, medicine, climate, space, disaster defense.","Ministry of Education, Culture, Sport, Science and Technology (MEXT;文部科学省)","http://www.hpci-office.jp/pages/e_what_is_hpci?parent_folder","true","","50M-100M","Japan","Emerging trends in STI policy|Public research system","Artificial intelligence (AI)|Non-competitive research funding","Research and education organisations|Researchers, students and teachers","Established researchers|Higher education institutes|PhD students|Postdocs and other early-career researchers|Public research institutes|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/15409/instrument/10108","Collaborative infrastructures (soft and physical)","Networking and collaborative platforms","","","","Exchanges take place via: Online platform|Focus: Technology-oriented|Objective(s): Coordinate R&D developments, Share R&D data|Ownership of IP stemming from science-industry research: Not applicable|Share of the platform's funding coming from the private sector (as a % of total funding): 0%"
"http://stip.oecd.org/2019/data/policyInitiatives/15409","HIGH PERFORMANCE COMPUTING INFRASTRUCTURE PROJECT","","HPCI","Supercomputer ""K"" as a central core, construct high-speed network among universities and public research sectors for various uses.（Shared use of Supercomputer ""K"" has ended in August 16, 2019.　Supercomputer “Fugaku” will be shared 2021 ~ 2022 as the successor to Supercomputer ""K"".）","2012","","","To contribute to developing science and technology, strengthening industrial competition, and creating secured society.","To create outstanding results in various fields such as AI, data science, medicine, climate, space, disaster defense.","Ministry of Education, Culture, Sport, Science and Technology (MEXT;文部科学省)","http://www.hpci-office.jp/pages/e_what_is_hpci?parent_folder","true","","50M-100M","Japan","Emerging trends in STI policy|Public research system","Artificial intelligence (AI)|Non-competitive research funding","Research and education organisations|Researchers, students and teachers","Established researchers|Higher education institutes|PhD students|Postdocs and other early-career researchers|Public research institutes|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/15409/instrument/19022","Collaborative infrastructures (soft and physical)","Dedicated support to research infrastructures","","","","Funding used for: Other|Main focus of support: National infrastructure(s)|Objective(s): Other"
"http://stip.oecd.org/2019/data/policyInitiatives/15413","ADVANCED INTEGRATED INTELLIGENCE PLATFORM PROJECT","","AIP","Gather top researchers and promote R&D for innovative technology and also promote implementation.","2016","","","","To construct innovative technology for AI, big data, IoT, and cybersecurity.","RIKEN (RIKEN;理研)","","true","","50M-100M","Japan","Emerging trends in STI policy|Innovation in firms and innovative entrepreneurship","Artificial intelligence (AI)|Digital transformation of firms","Research and education organisations|Researchers, students and teachers","Established researchers|Higher education institutes|PhD students|Postdocs and other early-career researchers|Public research institutes|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/15413/instrument/10110","Collaborative infrastructures (soft and physical)","Networking and collaborative platforms","","","","Exchanges take place via: Online platform, Meetings and events|Focus: Technology-oriented|Objective(s): Coordinate R&D developments, Share R&D data|Ownership of IP stemming from science-industry research: Not applicable|Share of the platform's funding coming from the private sector (as a % of total funding): 0%"
"http://stip.oecd.org/2019/data/policyInitiatives/24341","SOCIAL PRINCIPLES FOR HUMAN-CENTRIC AI","人間中心のAI社会原則","","The principles provide the basic principles each stakeholder should keep in mind in order for AI to be accepted and properly used by society.","2019","","","","To facilitate the implementation and sharing of AI, as well as provide the basis of the AI strategy.","Integrated Innovation Strategy Promotion Council (;統合イノベーション戦略推進会議)","https://www8.cao.go.jp/cstp/english/humancentricai.pdf","false","","Not applicable","Japan","Emerging trends in STI policy","Ethics of emerging technologies","Economic actors (individuals)|Firms by size|Governmental entities|Research and education organisations|Social groups especially emphasised","Civil society|Entrepreneurs|Firms of any size|Higher education institutes|National government|Private research and development lab|Public research institutes|Subnational government","http://stip.oecd.org/2019/data/policyInitiatives/24341/instrument/18508","Governance","Formal consultation of stakeholders or experts","","","","Method: Expert groups|Number of participants: 25 to 100|Stakeholders contribute to: Problem definition, Policy objective formulation"
"http://stip.oecd.org/2019/data/policyInitiatives/24345","AI R&D GUIDELINES","","","This Guideline is prepared as a basis for international discussions at G7 and OECD regarding matters expected to be considered in R&D activities for promoting the benefits and reducing the risks of AI.","2017","","","","This Guidelines aim at protecting the interests of users and deterring the spread of risks, thus achieving a human-centered “Wisdom Network Society” by way of increasing the benefits and mitigating the risks of AI systems through the sound progress of AI networks. (“Wisdom Network Society” is a society where, as a result of the progress of AI networking, humans live in harmony with AI networks, and data/information/knowledge are freely and safely created, distributed, and linked to form a wisdom network, encouraging collaborations beyond space among people, things, and events in various fields and consequently enabling creative and vibrant developments).","The Conference toward AI Network Society ((MIC);AIネットワーク社会推進会議（総務省）)","http://www.soumu.go.jp/main_content/000507517.pdf","false","","Less than 1M","Japan","Emerging trends in STI policy","Artificial intelligence (AI)","Governmental entities|Research and education organisations|Researchers, students and teachers","Established researchers|International entity|PhD students|Postdocs and other early-career researchers|Private research and development lab|Public research institutes|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/24345/instrument/19053","Governance","Regulatory oversight and ethical advice bodies","","This Guidelines consist of the following 9 AI R&D Principles and comment on them:<br/>1) Principle of collaboration<br/>―Developers should pay attention to the interconnectivity and interoperability of AI systems.<br/>2) Principle of transparency<br/>―Developers should pay attention to the verifiability of inputs/outputs of AI systems and the explainability of their judgments.<br/>3) Principle of controllability<br/>―Developers should pay attention to the controllability of AI systems.<br/>4) Principle of safety<br/>―Developers should take it into consideration that AI systems will not harm the life, body, or property of users or third parties through actuators or other devices.<br/>5) Principle of security<br/>―Developers should pay attention to the security of AI systems.<br/>6) Principle of privacy<br/>―Developers should take it into consideration that AI systems will not infringe the privacy of users or third parties.<br/>7) Principle of ethics<br/>―Developers should respect human dignity and individual autonomy in R&D of AI systems.<br/>8) Principle of user assistance<br/>―Developers should take it into consideration that AI systems will support users and make it possible to give them opportunities for choice in appropriate manners.<br/>9) Principle of accountability<br/>―Developers should make efforts to fulfill their accountability to stakeholders including AI systems’ users.","","Activities: Provide guidance, advice and support to stakeholders, Gather opinions from stakeholders on ethical principles, regulation improvements, etc., Cross-government coordination in developing/adopting guidelines, regulations, etc.|Challenge(s) addressed: Risks to human safety, Environmental sustainability, Privacy protection, Unethical use (e.g. dual-use technologies), Security (e.g. discrimination)|Reports are publicly available: Yes|Reports to: International organisation (e.g. European Commission, UNESCO), Ministry|The coordination body is composed of: A mix / other (please describe)|Type(s) of oversight or advice: Ethical principles (e.g. integrity, accountability, impartiality)"
"http://stip.oecd.org/2019/data/policyInitiatives/24346","AI UTILISATION GUIDELINES","AI利活用ガイドライン","","The Guidelines are intended to encourage the voluntary consideration of AI users, especially those who provide AI services to others (AI service providers) and those who use AI systems (business users).","2019","","","","The Guidelines aim to facilitate AI utilization and social implementation by way of increasing the benefits AI, and mitigating the risks of AI, as well as fostering trust in AI through the sound progress of AI networks.","The Conference toward AI Network Society ((MIC);AIネットワーク社会推進会議（総務省）)","http://www.soumu.go.jp/main_content/000581310.pdf","false","","Less than 1M","Japan","Emerging trends in STI policy","Artificial intelligence (AI)","Firms by age|Firms by size|Governmental entities|Intermediaries|Social groups especially emphasised","Civil society|Firms of any age|Firms of any size|Industry associations|International entity","http://stip.oecd.org/2019/data/policyInitiatives/24346/instrument/17532","Governance","Regulatory oversight and ethical advice bodies","","The Guidelines include the following 10 principles: <br/>1) Principle of proper utilization<br/>Users should make efforts to utilize AI systems or AI services in a proper scope and manner, under the proper assignment of roles between humans and AI systems, or among users.<br/>2) Principle of data quality<br/>Users and data providers should pay attention to the quality of data used for learning or other methods of AI systems. <br/>3) Principle of collaboration<br/>AI service providers, business users, and data providers should pay attention to the collaboration of AI systems or AI services. Users should take it into consideration that risks might occur and even be amplified when AI systems are to be networked.<br/>4) Principle of safety<br/>Users should take into consideration that AI systems or AI services in use will not harm the life, body, or property of users, indirect users or third parties through the actuators or other devices.<br/>5) Principle of security<br/>Users and data providers should pay attention to the security of AI systems or AI services.<br/>6) Principle of privacy<br/>Users and data providers should take into consideration that the utilization of AI systems or AI services will not infringe on the privacy of users’ or others.<br/>7) Principles of human dignity and individual autonomy<br/>Users should respect human dignity and individual autonomy in the utilization of AI systems or AI services.<br/>8) Principle of fairness<br/>AI service providers, business users, and data providers should take into consideration that individuals will not be discriminated unfairly by the judgments of AI systems or AI services.<br/>9) Principle of transparency<br/>AI service providers and business users should pay attention to the verifiability of inputs/outputs of AI systems or AI services and the explainability of their judgments.<br/>10) Principle of accountability<br/>AI service providers and business users should make efforts to fulfill their accountability to the stakeholders including consumer users and indirect users.","","Activities: Provide guidance, advice and support to stakeholders, Gather opinions from stakeholders on ethical principles, regulation improvements, etc., Cross-government coordination in developing/adopting guidelines, regulations, etc.|Challenge(s) addressed: Risks to human safety, Privacy protection, Security (e.g. discrimination)|Reports are publicly available: Yes|Reports to: International organisation (e.g. European Commission, UNESCO), Ministry|The coordination body is composed of: A mix / other (please describe)|Type(s) of oversight or advice: Ethical principles (e.g. integrity, accountability, impartiality)"
"http://stip.oecd.org/2019/data/policyInitiatives/24347","THE CONFERENCE TOWARD AI NETWORK SOCIETY","AIネットワーク社会推進会議","","This multi-stakeholder (industry, academia, consumer organisation and government) conference body discusses on the issues that the development and deployment of AI network may bring to the society.","2016","","","","To study social, economic, ethical, and legal issues that the progress of AI networking may raise<br/>(AI networking refers to a formation of networks where AI systems become connected over the Internet or other ICT networks and able to interact each other).","Ministry of Internal Affairs and Communications (MIC;総務省)","http://www.soumu.go.jp/main_sosiki/kenkyu/ai_network/index.html (in Japanese)","false","","Less than 1M","Japan","Emerging trends in STI policy","Artificial intelligence (AI)|Ethics of emerging technologies","Firms by size|Governmental entities|Intermediaries|Research and education organisations|Social groups especially emphasised","Academic societies / academies|Civil society|Firms of any size|Industry associations|International entity|Public research institutes","http://stip.oecd.org/2019/data/policyInitiatives/24347/instrument/17534","Governance","Creation or reform of governance structure or public body","The Conference toward AI Network Society","In 2016, the “Conference on Networking among AIs” was organized with about 37 participants, mainly consisting of academic researchers from a wide range of backgrounds. The concept of “AI Networking” refers the situation that AI systems become connected. It also generated the concept of “Wisdom Network Society” as a desirable image of society to be built through the progress of AI Networking. The draft of AI R&D Guidelines were released as the result of the conference, which consists of 8 articles. The Final Report was released in 2016 and the draft of Guidelines were presented at the G7 ICT Ministers’ Meeting held in April 2016, in Takamatsu, Japan. The guidelines contributed to the G7 discussion and Ministers' statement, held in September 2017, in Turin, Italy.<br/>In 2017, the “Conference toward AI Network Society” was organized with about 33 participants (in 2019, about 50 participants). The members of the conference are from academia, industry, and civil society. They released their own report on July 2017, which consisted of the ""Draft AI R&D Guidelines"" with 9 principles for international discussions[1]. It also includes an impact assessment of AI network society, which is based on case study scenarios of mobility, education, healthcare, etc.<br/><br/>AI systems may change its output (or program itself) during the utilization through continuous learning from input data. There are not only matters that developers are expected to keep in mind, but also matters that users are expected to keep in mind in using AI. For this reason, the conference released their own report on July 2018, which consists of the ""Draft AI Utilization Principles"" with 10 principles[2] to which AI service providers, end users, and data providers are expected to pay attention.<br/><br/>The conference continued the discussion with respect to the measures to realize the principles and what steps each stakeholder should take for that purpose. The conference published their own report[3] in August 2019, which consists of the document, entitled ""AI Utilization Guidelines"". It is a commentary on principles expected to be taken into consideration in the utilization of AI for the promotion of the benefits of AI with risk mitigation, and based on the above ""Draft AI Utilization Principles"". <br/><br/>[1] http://www.soumu.go.jp/main_content/000507517.pdf<br/>[2] http://www.soumu.go.jp/main_content/000581310.pdf<br/>[3] http://www.soumu.go.jp/main_content/000637844.pdf (Overview)","",""
"http://stip.oecd.org/2019/data/policyInitiatives/25312","AI STRATEGY","AI戦略","","In this strategy, the measures that Japan should immediately take concerted action are focused on taking the next step forward in overcoming issues faced by Japan, and making use of Japan’s strengths to open up opportunities for the future.","2019","","","In March 2017, Japan drew up the Artificial Intelligence Technology Strategy and its Industrialization Roadmap.","To specify the environment and measures conducive to effective future utilization of AI for the purposes of contributing to the solution of global issues through realization of Society 5.0 and overcoming the issues facing Japanese society.","Integrated Innovation Strategy Promotion Council (;統合イノベーション戦略推進会議)","https://www.kantei.go.jp/jp/singi/tougou-innovation/index.htmlhttps://www.kantei.go.jp/jp/singi/tougou-innovation/pdf/aisenryaku2019.pdf","false","","More than 500M","Japan","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)|Firms by age|Governmental entities|Research and education organisations|Researchers, students and teachers|Social groups especially emphasised","Civil society|Entrepreneurs|Firms of any age|National government|Private research and development lab|Public research institutes|Secondary education students|Subnational government|Teachers|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/25312/instrument/19048","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Research, Business (innovation and/or entrepreneurship), Education and skills, Governance, Other|Follow-up mechanism: Action plan, Periodic monitoring and/or evaluation of progress|Foresight exercise included: Yes|Societal challenge(s) emphasised: None specifically emphasised|Specific business sector(s) targeted: Agriculture, Automotive and road transportation, Education, Health and healthcare, Telecommunications and IT, Public administration|Strategy mainly prioritises: STI policy governance (e.g. vertical and horizontal coordination, evaluation), Business innovation and innovative entrepreneurship, Public research capabilities, Digitalisation, Skills for research and innovation, Societal challenges (e.g. social inclusiveness)"
"http://stip.oecd.org/2019/data/policyInitiatives/26479","AI R&D GUIDELINES","","","This Guideline is prepared as a basis for international discussions at G7 and OECD regarding matters expected to be considered in R&D activities for promoting the benefits and reducing the risks of AI.","2017","","","","These Guidelines aim at protecting the interests of users and deterring the spread of risks, thus achieving a human-centered “Wisdom Network Society” by way of increasing the benefits and mitigating the risks of AI systems through the sound progress of AI networks. “Wisdom Network Society” is a society where, as a result of the progress of AI networking, humans live in harmony with AI networks, and data/information/knowledge are freely and safely created, distributed, and linked to form a wisdom network, encouraging collaborations beyond space among people, things, and events in various fields and consequently enabling creative and vibrant developments.","The Conference toward AI Network Society ((MIC);AIネットワーク社会推進会議（総務省）)","http://www.soumu.go.jp/main_content/000507517.pdf","false","","Less than 1M","Japan","Emerging trends in STI policy","Artificial intelligence (AI)","Governmental entities|Research and education organisations|Researchers, students and teachers","Established researchers|International entity|PhD students|Postdocs and other early-career researchers|Private research and development lab|Public research institutes|Undergraduate and master students","NONE","","","","","",""
"http://stip.oecd.org/2019/data/policyInitiatives/26503","TRILATERAL FRENCH-JAPANESE-GERMAN RESEARCH PROJECTS ON ARTIFICIAL INTELLIGENCE","","","The Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) together with the French National Research Agency (ANR, France), and the Japan Science and Technology Agency (JST, Japan) is announcing the first trilateral call for research proposals on “Artificial Intelligence” (AI).","2019","","","Based on the added value obtained through the collaboration of the three countries, the aim is to present the direction of future digital economy and society through technical progress in AI research to strengthen trust, transparency and fairness as well as improving performance and investigating AI methods.","This call is intended to finance research projects in AI, in the broad sense, on methodological advancement in core AI technologies and emerging AI technologies.","Japan Science and Technology Agency (JST;科学技術振興機構)","https://euraxess.ec.europa.eu/worldwide/japan/call-trilateral-french-japanese-german-research-projects-artificialhttps://www.dfg.de/en/research_funding/announcements_proposals/2019/info_wissenschaft_19_58/index.html","false","","","Japan","Emerging trends in STI policy","Artificial intelligence (AI)","Research and education organisations|Researchers, students and teachers","Established researchers|PhD students|Public research institutes|Teachers|Undergraduate and master students","http://stip.oecd.org/2019/data/policyInitiatives/26503/instrument/22432","Direct financial support","Project grants for public research","","This call is intended to finance research projects in AI, in the broad sense, on methodological advancement in core AI technologies and emerging AI technologies. The following themes are given as examples:<br/><br/>- knowledge extraction and learning: data mining and text mining, machine learning (supervised, self-supervised, unsupervised, by reinforcement, …), complex decision rules design, decision process modelling and construction of decision support tools<br/>- knowledge management methods and models, including knowledge representation and theories of knowledge reasoning, ontologies and their use in data enrichment and information retrieval, multi-agent systems, and the semantic web, etc.<br/>- advancing the state of the art in AI in order to accomplish complex tasks (computer vision, natural language and speech processing, etc.), developing autonomous decision-making systems or allowing high-level interactions with human users<br/>- human-centered approaches towards AI methods, e.g. considering, trusted AI, GDPR in future AI, democratisation of AI, integrity of data for fairness, AI ethics to avoid gender/age segmentation.<br/><br/>Proposals must have been submitted in accordance with the agencies proposal preparation requirements by 25 October 2019.<br/><br/>This call is intended to support collaborative projects of trilateral research teams over 3 years, bringing together research partners from France, Germany, and Japan.<br/><br/>Research proposals should include the benefits and the added value of trilateral cooperation.<br/><br/>As the three agencies intend to encourage researchers’ mobility and knowledge exchange between France, Germany and Japan, consortia are asked to include concepts for integrated collaboration between partners from the three countries and cross-border networking (e.g. regular meetings of participating working groups, common workshops, exchange of researchers, etc.).","","Requires a form of collaboration: With international partners|Selection criteria: Scientific impact anticipated, Societal impact anticipated|Type of activity: Multidisciplinary research"
