"Policy initiative ID","English name","Original name(s)","Acronym","Description","Start date","End date","Budget amount(in local currency)","Background","Objective(s)","Responsible organisation(s)","Public access URL","Is evaluated ?","Evaluation URL","Yearly budget range","Country","Theme area(s)","Theme(s)","Target group type(s)","Target group(s)","Policy instrument ID","Policy instrument type category","Policy instrument type","Policy instrument name","Policy instrument description(s)","Policy instrument note(s)","Policy instrument mini-field(s)"
"http://stip.oecd.org/2019/data/policyInitiatives/24364","ADVISORY COUNCIL ON THE ETHICAL USE OF AI AND DATA","","","The Advisory Council on the Ethical Use of AI and Data was set up to advise Singapore Government on issues arising from commercial deployment of AI that may require policy or regulatory intervention.","2018","","","","To advise and work with the Infocomm Media Development Authority (IMDA) on the responsible development and deployment of AI.To assist IMDA in engaging stakeholders on issues that support the development of AI governance capabilities and frameworks, including engaging ethics boards of commercial enterprises on ethical and related issues arising from private sector use of AI and data; consumer representatives on consumer expectations and acceptance of the use of AI; as well as members of the private capital community on the need to incorporate ethical considerations in their investment decisions into businesses which develop or adopt AI.To assist the Government in developing ethics standards and reference governance frameworks, and publish advisory guidelines, practical guides, and codes of practice for the voluntary adoption by the industry.","Infocomm Media Development Authority (IMDA;)","https://www2.imda.gov.sg/news-and-events/Media-Room/Media-Releases/2018/composition-of-the-advisory-council-on-the-ethical-use-of-ai-and-data","false","","Not applicable","Singapore","Emerging trends in STI policy","Ethics of emerging technologies","Firms by size|Governmental entities","Firms of any size|National government","http://stip.oecd.org/2019/data/policyInitiatives/24364/instrument/17572","Governance","Regulatory oversight and ethical advice bodies","","","","Activities: Provide guidance, advice and support to stakeholders, Gather opinions from stakeholders on ethical principles, regulation improvements, etc., Provide expert ethical opinion|Challenge(s) addressed: Risks to human safety, Privacy protection, Unethical use (e.g. dual-use technologies)|Reports are publicly available: No|Reports to: Ministry|The coordination body is composed of: A mix / other (please describe)|Type(s) of oversight or advice: Ethical principles (e.g. integrity, accountability, impartiality)"
"http://stip.oecd.org/2019/data/policyInitiatives/24365","RESEARCH PROGRAMME ON GOVERNANCE OF AI AND DATA USE","","","Set up at the Singapore Management University (SMU) School of Law, this five-year Research Programme on the Governance of AI and Data Use will conduct scholarly research on policy, legal, regulatory, governance, ethics and other issues relating to AI and data use.","2018","2023","","","To conduct research on selected topics in AI and data use.To organise engagement forums e.g. conferences, symposiums, roundtables and seminars to engage stakeholders to generate and share knowledge, and bring clarity to policy and regulatory issues and their impact.To publish and present research papers to showcase Singapore’s thought leadership in the international AI and data research communities.","National Research Foundation (NRF;)|Infocomm Media Development Authority (IMDA;)","https://caidg.smu.edu.sg","false","","1M-5M","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Research and education organisations","Higher education institutes","http://stip.oecd.org/2019/data/policyInitiatives/24365/instrument/18103","Direct financial support","Institutional funding for public research","","","","Criteria for funding: Research publications and outputs (excellence), Research impact|Funding amount allocated for an average time-period of: 4-6 years|Funding includes a teaching component: No|Funding is attached to: Institutional performance contract|Penalties and rewards associated to performance: None of the above|Performance-based element to the allocation: Yes"
"http://stip.oecd.org/2019/data/policyInitiatives/24366","AI SINGAPORE","","AISG","AI Singapore (AISG) is a national AI programme launched by the National Research Foundation (NRF) to anchor deep national capabilities in Artificial Intelligence (AI), thereby creating social and economic impacts, grow the local talent, build an AI ecosystem and put Singapore on the world map.","2017","","","","To catalyse AI innovation in the industry through projects and talents pipeline.To create significant economic and social impacts through solving national challenges.To invent next generation AI techniques and algorithms.","National Research Foundation (NRF;)","aisingapore.org","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)|Firms by size|Research and education organisations","Firms of any size|Labour force in general|Public research institutes","http://stip.oecd.org/2019/data/policyInitiatives/24366/instrument/18056","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Research, Business (innovation and/or entrepreneurship), Education and skills, Governance, Other|Follow-up mechanism: Periodic monitoring and/or evaluation of progress|Foresight exercise included: No|Societal challenge(s) emphasised: Health|Specific business sector(s) targeted: None specifically targeted|Strategy mainly prioritises: Business innovation and innovative entrepreneurship, Skills for research and innovation, Technology transfers and commercialisation, Societal challenges (e.g. social inclusiveness)"
"http://stip.oecd.org/2019/data/policyInitiatives/24366","AI SINGAPORE","","AISG","AI Singapore (AISG) is a national AI programme launched by the National Research Foundation (NRF) to anchor deep national capabilities in Artificial Intelligence (AI), thereby creating social and economic impacts, grow the local talent, build an AI ecosystem and put Singapore on the world map.","2017","","","","To catalyse AI innovation in the industry through projects and talents pipeline.To create significant economic and social impacts through solving national challenges.To invent next generation AI techniques and algorithms.","National Research Foundation (NRF;)","aisingapore.org","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)|Firms by size|Research and education organisations","Firms of any size|Labour force in general|Public research institutes","http://stip.oecd.org/2019/data/policyInitiatives/24366/instrument/21761","Governance","Public awareness campaigns and other outreach activities","Skills Future","AI Singapore runs a series of programmes aimed at broadening the adoption and use of AI. These programmes which are open to the public range from a 3 hour workshop to help participants become more aware of AI and how it can be used, to a full-time, 9 month training programme to groom local AI talent and equip them with relevant skills by working on real world AI problems and through mentorship from AI, big data and high performance computing practitioners. <br/><br/>In addition, SkillsFuture targets skills training to early and mid-career professionals recognising that technology and globalisation are changing the nature of jobs at a rapid pace. As part of the programme, all Singaporeans aged 25 and above receive an opening credit of SGD 500 to use towards lifelong learning and training. The programme also offers guidance on industry-relevant training programmes that focus on emerging skills, identifying the following: (i) data analytics, (ii) finance, (iii) tech-enabled services, (iv) digital media, (v) cyber security, (vi) entrepreneurship, (vii) advanced manufacturing, and (viii) urban solutions.","","Aspect(s) being promoted: Science, Entrepreneurship, Technology, Innovation, Skills for STEM|Medium: Public events"
"http://stip.oecd.org/2019/data/policyInitiatives/24367","AI FOR EVERYONE","","AI4E","AI4E is a 3-hour workshop to introduce anyone to modern AI technologies and applications so that they can be savvy consumers of AI products and services.","2018","2021","","","To help participants become more aware of AI and how AI can be used in their daily lives and companies.","AI Singapore (AISG;)","https://www.aisingapore.org/industryinnovation/ai4e/","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)","Labour force in general","http://stip.oecd.org/2019/data/policyInitiatives/24367/instrument/18124","Governance","Public awareness campaigns and other outreach activities","","","","Aspect(s) being promoted: Technology, Innovation, Other|Medium: Conferences, workshops and/or training courses"
"http://stip.oecd.org/2019/data/policyInitiatives/24368","AI FOR INDUSTRY","","AI4I","AI4I is a training programme to equip participants with basic AI and data competency skills.","2018","","","","To help technically inclined individuals understand and use AI appropriately and be able to program basic AI and data applications in Python.","AI Singapore (AISG;)","https://www.aisingapore.org/industryinnovation/ai4i/","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)","Labour force in general","http://stip.oecd.org/2019/data/policyInitiatives/24368/instrument/18055","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Education and skills|Follow-up mechanism: Periodic monitoring and/or evaluation of progress|Foresight exercise included: No|Societal challenge(s) emphasised: None specifically emphasised|Specific business sector(s) targeted: None specifically targeted|Strategy mainly prioritises: Skills for research and innovation"
"http://stip.oecd.org/2019/data/policyInitiatives/24371","AI APPRENTICESHIP PROGRAMME","","AIAP","The AIAP is a full time 9-month programme where we train and groom local Singaporean AI talent. This is in line with the nation’s focus in deepening national capabilities in AI, not only in terms of technology, but also skillsets and talents. The AIAP is a deep skilling programme and successful applicants to the AIAP are expected to have prior knowledge in AI and Machine Learning. During the duration of the programme the apprentice is paid a stipend of between SGD$3500 - $5500 per month. There is no programme fee as this is a fully subsidized programme by the Singapore government.","2017","","","","AIAP aims to groom local AI talent by enhancing their technical careers as well as skills.","AI Singapore (AISG;)","https://www.aisingapore.org/industryinnovation/aiap/","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)","Labour force in general","http://stip.oecd.org/2019/data/policyInitiatives/24371/instrument/18049","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Education and skills|Follow-up mechanism: Periodic monitoring and/or evaluation of progress|Foresight exercise included: No|Societal challenge(s) emphasised: None specifically emphasised|Specific business sector(s) targeted: None specifically targeted|Strategy mainly prioritises: Skills for research and innovation"
"http://stip.oecd.org/2019/data/policyInitiatives/24428","MODEL AI GOVERNANCE FRAMEWORK","","","The voluntary Model AI Governance Framework was released in January 2019 as a living document that provides detailed and readily implementable guidance to private sector organisations to address key ethical and governance issues when deploying AI solutions.","2019","","","","To promote responsible AI adoption to enable innovation while building consumer confidence and trust in AI.","Infocomm Media Development Authority (IMDA;)","https://www.pdpc.gov.sg/model-ai-gov","false","","Not applicable","Singapore","Emerging trends in STI policy","Ethics of emerging technologies","Firms by size","Firms of any size","http://stip.oecd.org/2019/data/policyInitiatives/24428/instrument/18104","Guidance, regulation and incentives","Emerging technology regulation","","","","Approach to monitor compliance: Regulated parties are incentivised to adopt monitoring technology that is not managed by the regulator|Challenge(s) addressed: Risks to human safety, Privacy protection, Unethical use (e.g. discrimination)|Level of governance: National|Regulatory approach: Performance or output-based regulation (e.g. safety thresholds)|Role of government: Risk mitigation (e.g. consumer and social protection)|Type(s) of regulation: Self-regulation (e.g. codes of conduct, scientific advice, standards)"
"http://stip.oecd.org/2019/data/policyInitiatives/24543","100 EXPERIMENTS","","100E","100E is AI Singapore’s flagship programme to solve industries’ AI problem statements and help them build their own AI team.","2018","","","","There are two main objectives for each 100E project: developing a minimum viable model; and training the company’s engineers in AI capabilities along the way.","AI Singapore (AISG;)","https://www.aisingapore.org/industryinnovation/100e/","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Economic actors (individuals)|Firms by size","Firms of any size|Labour force in general","http://stip.oecd.org/2019/data/policyInitiatives/24543/instrument/18094","Direct financial support","Grants for business R&D and innovation","","AISG will provide funding of up to SGD$250,000 per 100E project for the Principal Investigators (PI) from Singapore's autonomous universities, A*STAR research institutes or other Singapore-based publicly funded research institutions to work on the organisation’s problem statement. The organisation is then required to match the funding in-kind (AI/engineering/IT/domain manpower) and in cash.","","Contribution (e.g. matching funds) required from beneficiary: Yes|Maximum amount of grant awarded in euros: 100K-500K|Maximum grant duration: 13-24 months|Requires a form of collaboration: With industry partners|Selection criteria: Track record of applicant, Feasibility of project|Type of activity: Applied research"
"http://stip.oecd.org/2019/data/policyInitiatives/24569","AI GRAND CHALLENGES","","","AI Grand Challenge looks at important issues and problems faced by Singapore and the world that can be effectively addressed with AI technologies and innovation.","2017","","","","To engineer large-scale, long-term research goals to demonstrate breakthroughs, undercover technical bottlenecks and commercial surprises to bring about sectoral transformations.","AI Singapore (AISG;)","https://www.aisingapore.org/grand-challenges/health/","false","","Don't know","Singapore","Emerging trends in STI policy","Artificial intelligence (AI)","Research and education organisations","Public research institutes","http://stip.oecd.org/2019/data/policyInitiatives/24569/instrument/18097","Governance","National strategies, agendas and plans","","","","Degree of coordination in implementing strategy (select the highest that applies): 2- Public bodies are expected to plan activities based on strategy|Focuses on the following area(s) of the national innovation system: Research|Follow-up mechanism: Periodic monitoring and/or evaluation of progress|Foresight exercise included: No|Societal challenge(s) emphasised: Health, Other|Specific business sector(s) targeted: Health and healthcare, Finance|Strategy mainly prioritises: Public research capabilities, Skills for research and innovation"
